asn,handle,description
45843,TW1-AS-AP,"TRANS WORLD ASSOCIATES (PVT) LIMITED"
45844,SYMBIO-AS-AP,"Symbio Networks Pty Ltd"
45845,NEPAL-IIG-AS,"Communications & Communicate Nepal Pvt Ltd"
45846,FSW-SHIGA-POP,"Foresightwave INC"
45847,NSTRU-AS-AP,"university network Nakornsitammarat Thailand"
45848,AUIX1-AS-AP,"AU IX Pty Limited"
45849,RESERVED,"APNIC ASN block"
45850,QSI-NET-IN,"Quantum Solutions India"
45851,BPCL-007-IN,"Bharat Bhawan - II IIS Department"
45852,BENDIGOBANK-AS-AP,"Bendigo Bank"
45853,RESERVED,"APNIC ASN block"
45854,EBIX-AS-AP,"EBIX CASH MOBILITY SOFTWARE INDIA LIMITED"
45855,ASIATECH-NET-AS-AP,"AsiaTech Telecom Limited"
45856,MASTERCARD-AS-AP,"MasterCard Asia/Pacific (Australia) Pty Ltd"
45857,SUTHERLAND-AS-AP,"Sutherland Healthcare Solutions Private Limited"
45858,DATAONE-PH2-AS-AP,"Data One Asia Philippines"
45859,CITYCOMNETWORKS-IN,"Citycom Networks Pvt. Ltd"
45860,RESERVED,"APNIC ASN block"
45861,GTT-HK-AS-AP,"GTT Communications HK Limited"
45862,RESERVED,"APNIC ASN block"
45863,YAHOO-AS-AP,"Yahoo Inc"
45864,ISI-AS-AP,"Inmarsat Solutions (Canada) Inc"
45865,INFORPSSC-PH,"INFOR PSSC INC"
45866,RESERVED,"APNIC ASN block"
45867,CBA-NON-AS-AP,"Commonwealth Bank of Australia"
45868,FUJITSU-AS-AP,"FUJITSU AUSTRALIA LTD"
45869,RESERVED,"APNIC ASN block"
45870,AUS-DEFENCE-AS-AU,"Australian Defence Organisation"
45871,RWTS-AS-AP,"Real World Technology Solutions Pty Ltd"
45872,RESERVED,"APNIC ASN block"
45873,NEHOS-AU,"Nehos Communications Pty Ltd"
45874,PSA-AU,"Pershing Securities Australia Pty Ltd"
45875,ARTGS-AS-AP,"ART Group Services Ltd"
45876,SCPBCG2-AS-AP,"Sanctuary Cove Principal Body Corporate"
45877,RESERVED,"APNIC ASN block"
45878,AST-AS-AP,"Internet Thailand Company Ltd"
45879,OWF-AS-AP,"Orange Wallis & Futuna"
45880,RESERVED,"APNIC ASN block"
45881,CARDGATE-NET-AS-AP,"CardGate.net Pty Ltd"
45882,RESERVED,"APNIC ASN block"
45883,RESERVED,"APNIC ASN block"
45884,RVRNET-AS,"RVR Infrastructure Limited Service provider hyderabad india"
45885,OBSITPLNET-IN,"Orange Business Services India Technology Private Limited"
45886,RESERVED,"APNIC ASN block"
45887,GPLHOST-AS-AP,"GPLHost LLC"
45888,SGHKB-AS-AP,"Societe Generale"
45889,RESERVED,"APNIC ASN block"
45890,RESERVED,"APNIC ASN block"
45891,SBT-AS-AP,"Solomon Telekom Co Ltd"
45892,WESTPAC-AS-AP,"Westpac Banking Corporation"
45893,DMMI-AP,"Digital Media Management Inc"
45894,FPTONLINE-AS-VN,"FPT Online JSC"
45895,MOBIFONEGLOBAL-AS-VN,"Mobifone Global JSC"
45896,MOBIFONEGLOBAL-AS-VN,"Mobifone Global JSC"
45897,MOBIFONEGLOBAL-AS-VN,"Mobifone Global JSC"
45898,VNPT-AS-VN,"VNPT Corp"
45899,VNPT-AS-VN,"VNPT Corp"
45900,SBV-AS-VN,"Department of Infomatic - The State Bank of Viet Nam"
45901,EXIMBANK-AS-VN,"Vietnam Export Import Commercial JSC"
45902,HASECO-AS-VN,"Hai Phong Securities Company"
45903,CMCTELECOM-VN,"CMC Telecom Infrastructure Company"
45904,BANGLALION-WIMAX-BD,"Banglalion Communications Ltd"
45905,STARGATE-AS-AP,"Stargate Communications Ltd"
45906,NUOL-LA,"National University of Laos (NUOL)"
45907,RESERVED,"APNIC ASN block"
45908,WISERS-HK,"Wisers Information Limited"
45909,ERICSSON-APAC-MY-AS,"Ericsson Expertise Center"
45910,ISYSTEMTECH-HK,"i-System Technology Limited"
45911,PHOENIXTV-HK,"Phoenix Satellite Television Company Limited"
45912,INDUE-AS-AP,"Indue Limited"
45913,SEVEN-AS-AP,"Seven Network Operations Ltd"
45914,RESERVED,"APNIC ASN block"
45915,YAHOO-AS-AP,"Yahoo Inc"
45916,GTPL-AS-AP,"Gujarat Telelink Pvt Ltd"
45917,RESERVED,"APNIC ASN block"
45918,SMARTONE-AS-AP,"SmarTone Mobile Communications (Macau) Limited"
45919,BGCP-AP,"BGC Partners"
45920,AUIX2-AS-AP,"AU IX Pty Limited"
45921,NYXSFTI-AP,"NYSE Technologies Ltd"
45922,VOCUS-AU,"Vocus Communications"
45923,RESERVED,"APNIC ASN block"
45924,GLOBAL-AS-AP,"Global Technologies Limited"
45925,TELETALK-BD,"Teletalk Bangladesh Ltd"
45926,WEBINABOX-AS-AP,"Web In A Box"
45927,SCCL-123-IN,"SINGARENI COLLIERIES COMPANY LIMITED"
45928,RESERVED,"APNIC ASN block"
45929,NEXTHOP-AS-AP,"NextHop Pty Ltd"
45930,NEURV-TW,Neurv
45931,FETCHTV-AS-AP,"FetchTV Pty Ltd"
45932,RESERVED,"APNIC ASN block"
45933,RESERVED,"APNIC ASN block"
45934,RESERVED,"APNIC ASN block"
45935,WNL-AS-AP,"Wantok Network Limited"
45936,RESERVED,"APNIC ASN block"
45937,BAC-AS-AP,"Brisbane Airport Corporation"
45938,NUCLEUS-CONNECT-SG,"Nucleus Connect Pte Ltd"
45939,FSL-AS-AP,"Foundation Securities (Private) Limited"
45940,BIGMATE-AS-AP,"BIGmate Monitoring Services Pty Ltd"
45941,DOCOMOINTERTOUCH-PH,"interTouch Pte. Ltd"
45942,SIKKANET-AS-AP,"Sikka Broadband Pvt. Ltd"
45943,OPUS-INTERNATIONAL-CONSULTANTS-AS-AP,"Fastcom Limited"
45944,RESERVED,"APNIC ASN block"
45945,WEBSERVER-MY,"Acme Commerce Sdn Bhd"
45946,AIRNZ-AS2-NZ,"Air New Zealand Limited"
45947,SECUREPAY-AS-AP,"SecurePay Pty Ltd"
45948,RESERVED,"APNIC ASN block"
45949,MCMILLANSHAKESPEAREAUST-AS-AP,"McMillan Shakespeare Australia pty Ltd"
45950,GMI-AS-AP,"Gareth Morgan Investments"
45951,RESERVED,"APNIC ASN block"
45952,RESERVED,"APNIC ASN block"
45953,CENET-AS-AP,"CEnet Limited"
45954,RESERVED,"APNIC ASN block"
45955,PHILLIPCAPTIAL-IN,"PhillipCapital (India) Private Limited"
45956,ETSA-AS-AP,"SA Power Networks"
45957,RESERVED,"APNIC ASN block"
45958,DN-BROADCAST-CSLOXINFO-TRUE-AS-TH,"DN Broadcast Co. Ltd"
45959,THAI-REINSURANCE,"Thai Reinsurance Public Co. Ltd"
45960,YTLCOMMS-AS-AP,"YTL Communications Sdn Bhd"
45961,POMO-AS-AP,"Port of Melbourne Operations Pty Ltd"
45962,JCU-NET-AS-AP,"James Cook University"
45963,KIRAMS-AS,"KIRAMS (Korea Institute of Radiological Medical Sciences)"
45964,EDWARDSKOREA-AS,"Edwards korea Limited"
45965,SSEN-AS,"SHINSEGAE I C"
45966,RESERVED,KRNIC-ASBLOCK-AP
45967,RESERVED,KRNIC-ASBLOCK-AP
45968,KONACENTER-AS,KONAI
45969,INIVAN-AS,"INICIS Co. Ltd"
45970,TOYOKOREA-AS,"Toyo Engineering Korea"
45971,FSIISAC-AS,"Financial Security Institute"
45972,KOREALX-AS,"KOREA LAND AND GEOSPATIAL INFORMATIX CORPORATION"
45973,KOTRA-AS,KOTRA
45974,NHN-AS,NHNCLOUD
45975,SAMSUNGSEC2-AS,"SamsungSDS Inc"
45976,RESERVED,KRNIC-ASBLOCK-AP
45977,CKBS-AS,"CANON KOREA INC"
45978,KISDFS-AS,"KIS Information Communication Inc"
45979,KBDATA-AS,"KB DATA SYSTEMS"
45980,RESERVED,KRNIC-ASBLOCK-AP
45981,SAMSUNGSEC-AS,"SamsungSDS Inc"
45982,BOSUNGNET-AS,BOSUNG-CABLE-NETWORK
45983,RESERVED,KRNIC-ASBLOCK-AP
45984,DIRS-AS,"Dongnam Institute of Radiologycal Sciences"
45985,SAMSUNGCLOUDPLATFORM-AS,"SamsungSDS Inc"
45986,KISANET,"Korea Internet Security Agency"
45987,DONGWHA-AS,"Dongwha Enterprise Co. Ltd"
45988,KODIT-AS,"KOREA CREDIT GUARANTEE FUND"
45989,KLNETCO-AS,"KL-Net Corp"
45990,HIRANET-AS,"Health Insurance Review Assessment Service"
45991,KAKAO-45991-AS,"Kakao Corp"
45992,CG-AS,"Construction Guarantee Cooperative"
45993,SBDNET-AS,"SHINBUNDANG RAILROAD"
45994,INCHEONNET-AS,"incheon city"
45995,SKPLANET-AS,"SK planet"
45996,DAOU-AS,"DAOU TECHNOLOGY"
45997,RESERVED,KRNIC-ASBLOCK-AP
45998,NMC-AS,"National Medical Center"
45999,CAR,"Korea Transportation Safety Authority"
46000,KBINSURE-AS,"KB Insurance"
46001,RESERVED,KRNIC-ASBLOCK-AP
46002,PHIS-AS,PHIS
46003,KOREACENTER-AS,CONNECTWAVE
46004,SKBMIL,"SK Broadband Co Ltd"
46005,RESERVED,KRNIC-ASBLOCK-AP
46006,SIMPLEXINTERNET-AS,"Cafe24 Corp"
46007,RXN-AS,RXN
46008,RESERVED,KRNIC-ASBLOCK-AP
46009,YABESK-AS,YABESK
46010,DIRECT-AS,"SAMJUNG DATA SERVICE"
46011,LX-AS,LX
46012,INDUK-AS,"Induk University"
46013,RESERVED,"APNIC ASN block"
46014,CFA-VIC-AS-AP,"Country Fire Authority"
46015,EXABYTES-AS-AP,"Exa Bytes Network Sdn.Bhd"
46016,ANTARA-AS-ID,"LKBN ANTARA"
46017,BAKOSURTANAL-AS-ID,"Badan Koordinasi Survei dan Pemetaan Nasional (BAKOSURTANAL)"
46018,DEPPERIN-AS-ID,"Departemen Perindustrian Republik Indonesia"
46019,UNIBRAW-AS-ID,"Universitas Brawijaya"
46020,OGI-AS-ID,"Orange Garden Indonesia PT"
46021,AU-AS-ID,"Abi Ummi Corporation"
46022,IDNIC-ALIANSISAKTI-AS-ID,"PT ALIANSI SAKTI"
46023,QUANTUMNET-AS-ID,"PT Quantum Tera Network"
46024,BNI-AS-ID,"PT. Bank Negara Indonesia (Persero) Tbk"
46025,CBN-GLOBAL-AS-ID,"PT. Cyberindo Aditama"
46026,BBT-AS-ID,"BATAM BINTAN TELEKOMUNIKASI PT"
46027,POSTEL-AS-ID,"Direktorat Jenderal Pos dan Telekomunikasi (Dirjen Postel)"
46028,PACNET-AS-ID,"Transkon Jaya PT"
46029,SGK-AS-ID,"PT. SEKAWAN GLOBAL KOMUNIKA"
46030,JASTRINDONET-AS-ID,"PT Jastrindo Dinamika"
46031,TELKOMSAT-NAP-AS-ID,"PT Telkom Satelit Indonesia"
46032,CENTRIN-ID,"PT Centrin Online Prima"
46033,SPEEDSOFT-AS-ID,"Speedsoft PT"
46034,DEPKES-AS-ID,"Departemen Kesehatan"
46035,TRIKOMSEL-AS-ID,"PT Trikomsel Oke Tbk"
46036,HTS-ID,"PT Hawk Teknologi Solusi"
46037,POEMS-AS-ID,"Phillip Securities Indonesia PT"
46038,CEPATNET-AS-ID,CepatNet
46039,BAPEPAM-LK-AS-ID,"Badan Pengawas Pasar Modal dan Lembaga Keuangan"
46040,IDNIC-ID,"Indonesia Network Information Center"
46041,WIMAX-AS-ID,Mobility:Nomadic:Fixed::Last-Mile
46042,GUNADARMA-AS-ID,"Gunadarma University"
46043,IDNIC-ID,"Indonesia Network Information Center"
46044,UNPAD-AS-ID,"Universitas Padjadjaran"
46045,SIAK-AS-ID,"PT Sarana Pembangunan Siak"
46046,WTEL-U-NET-AS-ID,"Wireless Telecom Universal PT"
46047,POLSRI-AS-ID,"Politeknik Negeri Sriwijaya"
46048,TRIMEGAH-AS-ID,"PT Trimegah Securities Tbk"
46049,UNDIP-AS-ID,"Universitas Diponegoro"
46050,JOGJACAMP-AS-ID,"PT JC Indonesia"
46051,CITRA-AS-ID,"PT JEMBATAN CITRA NUSANTARA"
46052,EEPIS-AS-ID,"Politeknik Elektronika Negeri Surabaya"
46053,GKD-AS-ID,"PT. Global Komunika Dewata"
46054,WLAN-AS-ID,"PT Wahana Lintas Nusa Persada"
46055,ROKA-AS-ID,"PT ROKA LANE ASIA"
46056,GCC-AS-ID,"PT Jovimaro Karya Agung"
46057,UMM-AS-ID,"Universitas Muhammadiyah Malang"
46058,LINKS-AS-ID,"PT. Triwahana Gemasakti"
46059,UM-AS-ID,"Universitas Negeri Malang"
46060,MEDIATRAC-AS-ID,"PT. Sitti Teknologi Indonesia"
46061,AIM-AS-ID,"PT. Adi Inti Mandiri"
46062,LINTASBUANA-AS-ID,"PT. BUANA LINTAS MEDIA"
46063,GRAHANET-AS-ID,"PT.Graha Telekomunikasi Indonesia"
46064,C2IX-IXP-AS-ID,"CYBER2 Internet Exchange"
46065,ICONPLN-AS-ID,"PT Indonesia Comnets Plus"
46066,DOCOMOINTERTOUCH-IN,"interTouch Pte. Ltd"
46067,IVEGROUP-AS-AP,"IVE GROUP AUSTRALIA PTY LTD"
46068,ZENSAR-TECH-09-AS-AP,"Zensar Technologies Ltd"
46069,CENET-AS-AP,"CEnet Limited"
46070,STATELIBVIC-AS-AP,"State Library of Victoria"
46071,PIONEER-CDN-AS-IN,"Pioneer Elabs Ltd"
46072,RESERVED,"APNIC ASN block"
46073,REEDELSEVIER-AUSTRALIA,"Reed Elsevier Australia Pty Ltd"
46074,RESERVED,"APNIC ASN block"
46075,MJ-AS-AP,"Solarix Networks Limited"
46076,RESERVED,"APNIC ASN block"
46077,RESERVED,"APNIC ASN block"
46078,DDAP-KBT-AS-AP,"Dimension Data Asia Pacific Pte. Ltd"
46079,SPU-AS-AP,"Sripatum Univeristy"
46080,ORTHOALLIANCE,"OrthoAlliance MSO LLC"
46081,FOOD-DONATION-CONNECTION,"Food Donation Connection"
46082,VOLTAGEPARK,"Voltage Park Inc"
46083,MCCARHTY-BURGESS-WOLFF,"McCarthy Burgess & Wolff Inc"
46084,ASRCFH-NET,"ASRC FEDERAL HOLDING COMPANY LLC"
46085,NET32,"Net32 Inc"
46087,ASN-UDHUDOIG-01,"U.S. Department of Housing and Urban Development - Office of Inspector General"
46088,BLUETECHWAF-ARIN,"blue tech technology Co. Limited"
46089,AS2-NAVIS,Navis
46090,AMX,"LATAM Telecommunications L.L.C"
46091,FGLTEL,"FGLTEL Inc"
46092,RAI,"RESOURCE AMERICA"
46093,PALM-BEACH-COUNTY-FLORIDA,"Palm Beach County"
46094,LEE-COLLEGE,"Lee College"
46095,RSI-CA-SITE1,"REP Solution Interactive Inc"
46096,EDICT-INC,"EDICT Inc"
46097,BMCSVL,"BMC Software Inc"
46098,BDG-AS-01,"Broadband Development Group LLC"
46099,KHENET,"Kaplan Higher Education Corporation"
46100,NETCRACKER-2,"NetCracker Technology Corporation"
46101,IHS-ASN-27,"UnityPoint Health"
46102,ZDLLP80115,"Zetlin & De Chiara LLP"
46103,UWW-EDU-ASN,"University of Wisconsin Whitewater"
46104,AUDIOVOX-AS,"AUDIOVOX CORPORATION"
46105,ALPAON-NA-AS,"Alpaon America LLC"
46106,JACKSON-HEALTHCARE,"Jackson Healthcare LLC"
46107,TPG-GLOBAL-AS,"TPG Global LLC"
46108,VFLMIA2,"NTT Global Networks Incorporated"
46109,ARDENT-NETWORKS,"Ardent Wireless LLC"
46110,CHEMEKETA-COMMUNITY-COLLEGE,"Chemeketa Community College"
46111,EDINA-REALTY-HOME-SERVICES,"Edina Realty Inc"
46112,SEQUELDATA-01,"Sequel Data Systems Inc"
46113,NY4-MAGDIA-CC,"Magnetar Capital LLC"
46114,RDM-OR-US,"City of Redmond OR"
46115,LUTHER,"Luther College"
46116,FIXNETIX-ARIN-BGP-ASN,"Fixnetix Inc"
46117,GTC-C,"Global Tracking Communications Inc"
46118,CELANESE-US,"Celanese International Corporation"
46119,MIDMICHIGANHEALTH-AS-1,"MidMichigan Health"
46120,PARTSSOURCE-AS,"PartsSource LLC"
46121,FTMS-01,"Florida Technology Managed Services Inc"
46122,DBCONTROLS,"Digital Business Controls"
46124,NETISUP,"The Net Is Up Inc"
46125,COMSCORE-INC,"comScore Inc"
46126,CATAS,"Catterton Management Company LLC"
46127,AS-DRSTECH,"Leonardo DRS Inc"
46128,UNITEDISD,"United Independent School District"
46129,CADILLACFAIRVIEW,"THE CADILLAC FAIRVIEW CORPORATION LIMITED/LA CORPORATION CADILLAC FAIRVIEW LIMITEE"
46130,POSITIVE-USA,"The Positive Internet Company Inc"
46131,THEIPGUYS-AS,"TheIPGuys.Net LLC"
46132,HITACHI-ENRGY,"Hitachi Energy USA Inc"
46133,ET-ASN2,"Elite Telecom Inc"
46134,AAA-MWG-UT,"AAA-Arizona Inc"
46135,RMY-2012,"The Regional Municipality of York"
46136,BBIX-USA-SJ,"BBIX USA INC"
46137,AAA-MWG-IO,"AAA-Arizona Inc"
46138,MAIKIWI-COMPANY-AS,"Maikiwi Network LLC"
46139,METASOURCE,"Metasource LLC"
46140,CSI,"CAMP SYSTEMS INTERNATIONAL"
46141,OMNIPOP,"Big Ten Academic Alliance"
46142,BP-1,"BridgePay Network Solutions LLC"
46143,GTCH,"Greektown Casino"
46144,RLI-INS-AS001,"RLI Insurance"
46145,HELMERICH-AND-PAYNE-INC,"Helmerich & Payne Inc"
46146,BECKLAR-AS-1,"Becklar Holdings LLC"
46147,HCTRL,OPTICALTEL
46148,MONOCOUNTYCA-BRIDGEPORT,"County of Mono"
46149,USI-2-ASN,"University of Southern Indiana"
46150,SNHU,"Southern New Hampshire University"
46151,CG-WW-NET,"Intersection Design and Technology"
46152,SLG,"SL Green Realty Corp"
46153,LOUISVILLE-JEFFERSON-COUNTY-METRO-GOVERNMENT,"Louisville Jefferson County Metro Government"
46154,FMTJESUP,"Farmers Mutual Telephone Company"
46155,DEERFIELD-ACADEMY,"Deerfield Academy"
46156,SUNLIFE-ASN,"Sunlife Assurance Company of Canada"
46157,MACS-CS-INC,"Mac's Convenience Stores Inc"
46158,OCMBOCES,"OCM BOCES"
46159,HIGH-DESERT-ESD,"High Desert Education Service District - High Desert ESD"
46160,SKYTAP-TUK,Kyndryl
46161,NEUNER,"Neuner Mobile Technologies LLC"
46162,ATC-NA,"ATC Group Services Inc"
46163,MOODYS,"Moody's Corp"
46164,ATT-MOBILITY-LABS,"AT&T Enterprises LLC"
46165,RESOUND-GENISYS-PUBLIC,"Resound Networks LLC"
46166,SRSU,"Sul Ross State University"
46168,CALLTOWER,"CallTower Inc"
46169,GTOWN,"City of Georgetown"
46170,BASTION-CYBER-US01,bastioncyber.ai
46171,CFBISD-AS1,"Carrollton-Farmers Branch Independent School Dist"
46172,XID-01,"Enterprise VPS Solutions LLC"
46173,OMNIS-2,"Omnis Network LLC"
46174,IMPREZZIO-LLIX,"Imprezzio Inc"
46175,VNSL-AS,"Vaquero Network Services LLC"
46176,JIUCLOUD,"JiuCloud Networks LLC"
46177,WHITE-SKY-HOSTING,"White Sky Hosting"
46178,IVIT-1,"Integrity Virtual IT Inc"
46179,MEDIAFIRE,"MediaFire LLC"
46180,KWIKOM-BBWI,"KwiKom Communications"
46181,MAXXSOUTH-BROADBAND,"BCI Mississippi Broadband LLC"
46182,VAROLII,"Microsoft Corporation"
46183,MARYANNLIEBERTINC,"MARY ANN LIEBERT INC"
46184,NORQUEST,"NorQuest College"
46185,MAXSIP,"Maxsip Telecom Corp"
46186,GILD-SCI,"Gilead Sciences"
46187,SPY,"International Spy Museum"
46188,CCMAINE,"Cornerstone Communications LLC"
46189,BEATPORT-NAR-AS-1,"Beatport LLC"
46190,KRMC,"Kingman Regional Medical Center"
46191,5LINX-ASN,Globalinx
46192,SWBC-ASN,SWBC
46193,SKYWERX,"Visionary Communications LLC"
46194,SPECTRUM-EVERSTREAM-CITYSC,"St Louis CITY SC"
46195,ACTIVO-INC,"ACTIVO INC"
46196,RCIT-CORNET,"County of Riverside"
46197,DISCOVERYIT77627,"Discovery Information Technologies Inc"
46198,AS-TRILOGY-DOMINICANA,"Trilogy Dominicana S.A"
46199,KYN-GTS,Kyndryl
46200,ITC-146,"IT Curves"
46201,COYUBA58,"County of Yuba"
46202,MICHAELS-ATT-DS3,"Michaels Stores Inc"
46203,PNSHS,"Fidelity National Information Services Inc"
46204,MWE,"McDermott Will and Emery"
46205,TELEK-OCIX,"Sangoma US Inc"
46206,AS-SANFORDHEALTH,"Sanford Health"
46207,STATE-OF-LOUISIANA-JUDICIAL-BRANCH,"State of Louisiana Supreme Court - JA/CMIS"
46208,PFNL-ASN,"Peninsula Fiber Network LLC"
46209,GHC911,GHC911
46210,YXEIX,"Saskatoon Internet Exchange Inc"
46212,BW-1,"Bates White LLC"
46213,LS-POWER-ASN-02,"LS Power Development LLC"
46214,LEFRED,"Lefleur Transportation of Tupelo Inc"
46215,TERRANOVANET-ASN1,TerraNovaNet
46216,ICECONSULTING,"Ice Consulting"
46217,BOLD-MSUMANKATO,"Apogee Telecom Inc"
46218,COMPORIUM-BREVARD-AS,"Comporium Inc"
46219,CASHEDGE,"Fiserv Solutions LLC"
46220,DWWTC,"Dynamic World Wide Training Consultants"
46221,MISCHOICE,"MIS Choice Inc"
46222,INSIGHT-AS,"Insight Direct USA Inc"
46223,ORC-INTERNATIONAL,"ENGINE International Inc"
46225,RMCFNET,"Rocky Mountain Chocolate Factory Inc"
46226,AS46226,"Acciona Energy North America Corporation"
46227,DMUS-A001,"Dark Matter Technologies LLC"
46229,MDE,"Million Dollar Elm Casino"
46230,DUDROP,"Dignitas Technology Inc"
46231,WATCHCOMM-IN,"Watch Communications"
46232,AURORATRADE-01,"AURORA TELECOMMUNICATIONS"
46233,EMC-159,"Eisenhower Medical Center"
46234,LIKECO,Like.Com
46235,TWN,"Trion Worlds Inc"
46236,GUTHRIE-HEALTHCARE-SYSTEMS,"Guthrie Healthcare System"
46237,PENNSBURY,"Pennsbury School District"
46238,WTS-AS,"WT Services Inc"
46239,EFKOLOS-CORE-0,"Efkolos LLC"
46240,CAMPUSEAI,CampusEAI
46241,WASHTENAW-ISD-ASN,"Washtenaw ISD"
46242,SAFEWAYINS1,"Safeway Insurance Group"
46243,AS-NBDL,"National Bank of Dominica Ltd"
46244,WEBMD-IDC1-AS,"WebMD LLC"
46245,NIFCO-ASN-01,"NIFCO America"
46246,RAPTOR-DC-01,"Raptor Engineering LLC"
46247,THOMPSONHEALTH,"F.F. Thompson Health System Inc"
46248,LSA-SQL-AZ,"Sonora Quest Laboratories"
46249,OAI-5-ASN,"Omni Air International Inc"
46250,DT-DR,"Dealertrack Inc"
46251,THRIVE-E5,"InfoHedge Technologies LLC"
46252,HIA-TRCY,"Hagerty Insurance Agency LLC"
46253,SUGARSYNC,"IPVanish Inc"
46254,OMNI-NOC,"OMNI Data LLC"
46255,CHARLOTTE-MECKLENBURG-SCHOOLS-NC,"Charlotte-Mecklenburg Schools"
46256,SUTTERHEALTH,"Sutter Health"
46257,ATEX-ASN,Atex
46258,ESC3,"Region III Education Service Center"
46259,CTDN-AS,"Donor Network West"
46260,MEDHOST-INC,"MEDHOST Inc"
46261,QUICKPACKET,"QuickPacket LLC"
46262,RTASN,"ResTech Services LLC"
46263,EDIALOG,"e-Dialog Inc"
46264,NIKE-WHQ,"Nike Inc"
46265,NETSKRTSYSTEMS-CANADA,Netskrt
46266,MARIANU-IN,"Marian University"
46267,MFCU-1-AS,"Missoula Federal Credit Union"
46268,PADRES-01,"San Diego Padres"
46269,KRONOS-MA,"UKG Kronos Systems LLC"
46270,AS46270,"ThyssenKrupp North America Inc"
46271,DT-PROD,"Dealertrack Inc"
46272,GRIDPOINT,"GridPoint Inc"
46273,APOG-ALBANY,"Apogee Telecom Inc"
46274,UPHS,"Penn Medicine"
46275,ACU,AcuCall
46276,SMARTERBROADBAND,SmarterBroadband
46277,OHIOHEALTH,"OhioHealth Corporation"
46278,USWIRED-CLOUD-HOSTING,"USWired Incorporated"
46279,TECHPRO-01,"TechPro Inc"
46280,GOBCN-1,"Broadband Communications North Inc"
46281,WI-FIVE-BROADBAND,"Wi-Five Broadband"
46282,AVIALL-SERVICES-INC,"Boeing Distribution Inc"
46283,SEARCY-MAIN-CAMPUS,"Harding University Inc"
46284,CC-NETWORK,"IFREEDOM DIRECT CORPORATION"
46285,DLX-HWD,"Deluxe Laboratories Inc"
46286,COOK-COUNTY,"Cook County"
46287,SML-ASN,"Stonehenge Management LLC"
46288,TRELLIS,"Trellis Communications Inc"
46289,SCIV,"Scivantage Inc"
46290,MTSAC,MtSAC
46291,LODCO,"LOD Communications Inc"
46292,MOJAVEWIFI-COM-CA-1,"Mojavewifi.com LLC"
46293,MIDWEST-ENERGY-AND-COMMUNICATIONS,"Midwest Energy & Communications"
46294,SCATUI,SCATUI
46295,ATNL-3-46295,"All Tribal Networks LLC"
46296,WHITEHAT,"WhiteHat Inc"
46297,NEWWAVECOMM3,"New Wave Communications"
46298,HCHD-AS,"Harris County Hospital District"
46299,LITTLETON-AS,"City of Littleton"
46300,HSC-WAP,"Valley Fiber Ltd"
46301,PRODEGE-LA,"MyPoints.com Inc"
46302,CRYSTALGEYSER,"Crystal Geyser Water Company"
46303,POPP-COM,"POPP.com Inc"
46304,LUXBRIDGE,"Luxbridge LLC"
46305,UA-4585,"Universal Audio Inc"
46306,BAC-ASN2011BGP,BACTES
46307,CENTAURI,"Centauri Solutions LLC"
46308,LINK-CC,"LINK-CC LLC"
46309,TONAQUINT-DC,"ValorC3 Data Centers"
46310,TSRI-FL-AS,"The Scripps Research Institute"
46311,HDNETLLC-ASN01,"AXStv - HDNet - HDNet Movies"
46312,WAL-MART3,"Wal-Mart Stores Inc"
46313,WAL-MART4,"Wal-Mart Stores Inc"
46314,STONEWAIN-SYSTEMS,"Stonewain Systems Inc"
46315,BLOSSOM-TX,"Blossom Telephone Company"
46316,DREC-AS-01,"Dayton Realtime Equipment Company"
46317,ITGD-CHI-BGP,"ITG Derivatives LLC"
46318,TECHOPS-ASN-4,"Live Nation Entertainment Inc"
46319,AAM-ASN1,"American Axle and Manufacturing Inc"
46320,BLU,"BLU Fibre Networks inc"
46321,FISD,"Forney Independent School District"
46322,AS-CONDUCTOR,"Conductor Inc"
46323,TELEBROAD,"Telebroad LLC"
46324,ADVANCED-STREAM-01,"Advanced Stream Inc"
46325,SMH-AS-01,"Stinson Morrison Hecker LLP"
46326,PANAGORA470,"PANAGORA ASSET MANAGEMENT"
46327,ATC-NYC,"ATC Group Services Inc"
46328,FOUR-U-AS,"Four-U Technologies LLC"
46329,TOURO-ASN,"TOURO UNIVERSITY NEVADA"
46330,LICKINGMEMORIAL-HS,"Licking Memorial Hospital"
46331,KUKATOLEDO,"KUKA Toledo Production Operations LLC"
46332,ACTBLUETECH,"ActBlue Technical Services Inc"
46333,COBALT,"The Cobalt Group"
46334,PRINCEWILLIAMCOSCHOOLS,"Prince William County Public Schools"
46335,PVAMU,"PRAIRIE VIEW A&M UNIVERSITY"
46336,GOODVILLE,"Goodville Mutual Casualty Company"
46337,WEBSITE-HOSTING,"Website Hosting"
46338,CPCL-ASN1,"CPC Logistics Inc"
46339,AS-CSDVRS,"ZP Better Together LLC"
46340,HR2,"HireRight LLC"
46341,CPUC-AS-001,"California Public Utilities Commission"
46342,AJGCO,"Arthur J. Gallagher & Co"
46343,ALKIRA-PUBLIC-ASN,"Alkira Inc"
46344,ASPIRELIFESTYLES-BURLINGTON,"Circle Company Associates Inc"
46345,MTFO-01,Luciole
46346,ORANGEFIN-VENTURES-01,"Orangefin Ventures LLC"
46347,CAROLINAWEST-WIRELESS,"Carolina West Wireless"
46348,FOSTER-ASN01,"Foster Poultry Farms"
46349,RWSC,"RED WING SHOE COMPANY INC"
