asn,handle,description
170,DNIC-AS-00170,"United States Department of Defense (DoD)"
171,SOX-RES,"Southern Light Rail Inc"
172,DNIC-AS-00172,"Headquarters USAISC"
173,NTTECL-AS,"Nippon Telegraph and Telephone Corporation"
174,COGENT-174,"Cogent Communications LLC"
175,PL-AS,"Air Force Systems Networking"
176,BCN-AS,"Information Systems and Networks Corporation"
177,UMICH-AS-1,"University of Michigan"
178,UMICH-AS-2,"University of Michigan"
179,UMICH-AS-3,"University of Michigan"
180,UMICH-AS-4,"University of Michigan"
181,MERIT-AS-1,"Merit Network Inc"
182,MERIT-AS-2,"Merit Network Inc"
183,MERIT-AS-3,"Merit Network Inc"
184,MERIT-AS-4,"Merit Network Inc"
185,MERIT-AS-5,"Merit Network Inc"
186,CUA-AS,"The Catholic University of America"
187,DNSCAST-AS,DNScast
188,SAIC-AS-188,SAIC
189,LUMEN-LEGACY-L3-PARTITION,"Level 3 Parent LLC"
190,DNIC-AS-00190,"Navy Network Information Center (NNIC)"
191,DNIC-AS-00191,"Navy Network Information Center (NNIC)"
192,ROCHINSTTECH,"Rochester Institute of Technology"
193,FORD-ASN,"Lockheed Martin Corporation"
194,NCAR-AS,"University Corporation for Atmospheric Research"
195,SDSC-AS,"San Diego Supercomputer Center"
196,BOEING196,"The Boeing Company"
197,RAYTHEON-AS-2,"Raytheon Company"
198,DNIC-AS-00198,"United States Department of Defense (DoD)"
199,CENTURYLINK-LEGACY-LVLT-199,"Level 3 Parent LLC"
200,CENTURYLINK-LEGACY-LVLT-200,"Level 3 Parent LLC"
201,CENTURYLINK-LEGACY-LVLT-201,"Level 3 Parent LLC"
202,CENTURYLINK-LEGACY-LVLT-202,"Level 3 Parent LLC"
203,CENTURYLINK-LEGACY-LVLT-203,"Level 3 Parent LLC"
204,PSCNET-AS,"Pittsburgh Supercomputing Center"
205,MONTCLAIR-AS,"Montclair State University"
206,CSC-IGN-AMER-AS206,"DXC US Latin America Corporation"
207,CLI-GW-AS,"Computational Logic Inc"
208,DNIC-AS-00208,"Navy Network Information Center (NNIC)"
209,CENTURYLINK-US-LEGACY-QWEST,"CenturyLink Communications LLC"
210,WEST-NET-WEST,"Utah Education Network"
211,RADC-ROME-AIR-DEVELMENT-CENTER,"Rome Air Development Center"
213,DNIC-AS-00213,"Headquarters USAISC"
214,DNIC-AS-00214,"Navy Network Information Center (NNIC)"
215,DNIC-AS-00215,"Headquarters USAISC"
216,LMSC-HOSTNET-AS,"Air Force Systems Networking"
217,UMN-SYSTEM,"University of Minnesota"
218,AFOTECPCNET-AS,"Air Force Systems Networking"
219,DNIC-AS-00219,"Navy Network Information Center (NNIC)"
220,OOALC-HOSTNET-AS,"Air Force Systems Networking"
221,WRALC-HOSTNET-AS,"Air Force Systems Networking"
222,SMALC-HOSTNET-AS,"Air Force Systems Networking"
223,AS223,"Parsons Corporation"
224,UNINETT,"SIKT - KUNNSKAPSSEKTORENS TJENESTELEVERANDOR"
225,VIRGINIA-AS,"University of Virginia"
226,LOS-NETTOS-AS,"Los Nettos"
227,DNIC-AS-00227,"Headquarters USAISC"
228,DNIC-AS-00228,"United States Department of Defense (DoD)"
229,MERIT-AS-6,"Merit Network Inc"
230,MERIT-AS-7,"Merit Network Inc"
231,MISU-231,"Michigan State University"
232,MERIT-AS-9,"Merit Network Inc"
233,MERIT-AS-10,"Merit Network Inc"
234,NETHER-RESEARCH,Nether.Net
235,MERIT-AS-12,"Merit Network Inc"
236,MERIT-AS-13,"Merit Network Inc"
237,MERIT-AS-14,"Merit Network Inc"
238,MERIT-AS-15,"Merit Network Inc"
239,UTORONTO-AS,"University of Toronto"
240,SAALC-HOSTNET-AS,"Air Force Systems Networking"
241,OCALC-HOSTNET-AS,"Air Force Systems Networking"
242,SSSD-AS,SUPSHIP
243,HARRIS-ATD-AS,"L3Harris Technologies Inc"
244,DNIC-AS-00244,"United States Department of Defense (DoD)"
245,PRC-AS,"Planning Research Corporation"
246,ASIFICS-GW-AS,"Air Force Systems Networking"
247,ROMENET-AS,"Rome Air Development Center"
248,IDDQD-AS,IDDQD-AS
249,PACKETSTAR,"European Network"
250,SACREDCHAO-AS,"AS250.net Foundation"
251,AS251,AS251
252,DNIC-AS-00252,"Headquarters USAISC"
253,NTTA-253,"NTT America Inc"
254,OPENTEXT,"Attachmate Corp"
255,PAFB-GW,"Air Force Systems Networking"
256,DNIC-AS-00256,"Navy Network Information Center (NNIC)"
257,DNIC-AS-00257,"Navy Network Information Center (NNIC)"
258,BRAGGSRI-EGP-AS,"Headquarters USAISC"
259,SCUBED-AS,SCUBED
260,GTT-DXB,"GTT Americas LLC"
261,FR-CINES-MONTPELLIER,Renater
262,VERIO,"NTT America Inc"
263,NTTA-263,"NTT America Inc"
264,SRINET-AS,"SRI International"
265,DSI-WR-16,"Advanced Info. Technology Servcies"
266,AS-ITDS,"IT Digital Services LLC"
267,NETHER-NET,Nether.Net
268,USUHSNET-AS,"Uniformed Services University of the Health Sciences"
